0,0,0,0,0,0,0,0,0,0,0
0,0,179167,10320,1188,528,166,147,120,64,0
0,0,68326,10654,1387,7382,7814,5362,4620,2037,0
0,0,572228,10227,2658,3557,2415,2530,776,1510,0
0,0,388057,89977,7653,13150,10544,11466,5531,2424,0
0,0,52887,27381,13820,15133,4559,5807,6521,7922,0
0,0,24617,24045,6911,9487,5376,2000,1752,1247,0
0,0,1432019,600179,125330,91362,31686,64037,59098,60865,0
0,0,424894,49272,46475,45707,22762,6767,6876,5994,0
0,0,266721,38858,8715,12869,10860,5413,2275,1880,0
0,0,337891,185305,2419,5028,17189,8715,4672,3655,0
66,61,1463778,16905,2260,9142,13376,2408,2784,1507,0
63,67,162031,7907,2409,4327,4572,763,415,493,0
69,67,183450,11521,10025,3182,10235,5482,3889,1215,0
53,67,64783,56174,12829,17162,5709,8854,9384,4544,0
43,57,66240,13300,3558,1875,2153,636,752,394,0
35,61,63067,17835,9540,12515,16908,6880,11002,6421,0
66,78,47567,26682,15989,52621,12861,9753,4701,3199,0
61,70,346868,309428,22843,15418,22299,20978,8013,4488,0
16,50,13935,20995,3863,167,1391,1541,540,309,0
1,41,129173,33543,661,1275,176,538,438,194,0
1,48,84853,13055,522,4939,1128,420,336,207,0
14,53,326445,21680,4586,3632,3664,1599,833,997,0
63,69,86117,52609,14160,5135,6784,7748,6457,5419,0
84,74,20442,23047,9129,16436,18941,8922,5662,6874,0
97,74,8926,19343,7575,4852,2890,5247,6167,8394,0
91,63,763385,199079,31949,47573,30008,12969,4302,3246,0
75,60,490261,105383,25026,12643,25085,9333,4278,9193,0
21,40,1592616,312796,14986,27435,22738,11277,3693,1381,0
1,40,35515,47086,1536,2275,688,404,357,289,0
10,35,65604,14467,2874,1261,1737,1257,884,208,0
66,69,125096,43179,51223,29834,19460,14440,6567,2263,0
77,77,404581,50957,32404,28083,26298,15546,17553,2232,0
61,80,29261,99299,12874,19921,4637,2014,1331,1050,0
1,40,52592,224662,9361,18451,4769,5542,2869,2701,0
1,29,67955,230444,6544,6901,9835,4559,4255,1914,0
69,60,557145,86780,18106,7736,17639,11370,2338,737,0
60,38,63698,131185,5133,60446,15905,21487,4292,5308,0
90,56,7707,24567,20708,31007,18380,16757,4970,4579,0
84,61,248860,22228,15856,9901,10512,5175,4304,5457,0
63,54,62695,117465,8248,10614,15757,5580,4576,4567,0
51,51,96157,74238,5729,12607,7365,8400,5537,8589,0
54,61,15899,15822,4531,26760,7291,3441,981,3565,0
78,61,56468,43948,1876,15847,7418,5804,5070,6651,0
84,70,11007,12454,6587,18421,3368,6288,6154,5543,0
97,67,410180,24427,13339,22756,14839,15480,3298,6070,0
97,81,17605,7577,12666,20118,10060,6710,6959,2443,0
